congress,chamber,state,party,last_name,first_name,middle_name,born,female,ngirls,nboys,nchildren,aauw_voting,year
98,House,NY,D,Ackerman,Gary,Leonard,1942,0,1,2,3,100,1983
98,House,NY,D,Addabbo,Joseph,Patrick,1925,0,2,0,2,100,1983
98,House,HI,D,Akaka,Daniel,Kahikina,1924,0,1,4,5,100,1983
98,House,MI,D,Albosta,Donald,Joseph,1925,0,1,1,2,82,1983
98,House,AR,D,Alexander,William,Vollie,1934,0,1,1,2,67,1983
98,House,CA,D,Anderson,Glenn,Malcolm,1913,0,0,2,2,91,1983
98,House,TX,D,Andrews,Michael,Allen,1944,0,0,0,0,70,1983
98,House,NC,D,Andrews,Ike,Franklin,1925,0,2,0,2,100,1983
98,House,IL,D,Annunzio,Frank,NA,1915,0,3,0,3,73,1983
98,House,AR,D,Anthony,Beryl,Franklin,1938,0,0,1,1,90,1983
98,House,OH,D,Applegate,Douglas,Earl,1928,0,1,1,2,90,1983
98,House,TX,R,Archer,William,Reynolds,1928,0,3,2,5,10,1983
98,House,WI,D,Aspin,Leslie,NA,1938,0,0,0,0,91,1983
98,House,OR,D,Aucoin,Les,NA,1942,0,2,0,2,82,1983
98,House,CA,R,Badham,Robert,Edward,1929,0,3,2,5,10,1983
98,House,GA,D,Barnard,Druie,Douglas,1922,0,0,0,0,40,1983
98,House,MD,D,Barnes,Michael,Darr,1943,0,2,0,2,100,1983
98,House,TX,R,Bartlett,Harry,Stephen,1947,0,1,2,3,18,1983
98,House,VA,R,Bateman,Herbert,Harvell,1928,0,1,1,2,36,1983
98,House,CA,D,Bates,Jim,NA,1941,0,1,0,1,91,1983
98,House,IA,D,Bedell,Berkley,Warren,1921,0,1,2,3,70,1983
98,House,CA,D,Beilenson,Anthony,Charles,1932,0,1,2,3,91,1983
98,House,FL,D,Bennett,Charles,Edward,1910,0,1,2,3,45,1983
98,House,NE,R,Bereuter,Douglas,Kent,1939,0,0,2,2,50,1983
98,House,CA,D,Berman,Howard,Lawrence,1941,0,2,0,2,100,1983
98,House,AR,R,Bethune,Edwin,Ruthvin,1935,0,1,1,2,36,1983
98,House,AL,D,Bevill,Tom,NA,1921,0,0,1,1,64,1983
98,House,NY,D,Biaggi,Mario,NA,1917,0,2,2,4,100,1983
98,House,FL,R,Bilirakis,Michael,NA,1930,0,0,2,2,18,1983
98,House,VA,R,Bliley,Thomas,Jerome,1932,0,1,1,2,36,1983
98,House,NY,R,Boehlert,Sherwood,Louis,1936,0,2,0,2,73,1983
98,House,LA,D,Boggs,Corinne,Claiborne,1916,1,2,1,3,73,1983
98,House,MA,D,Boland,Edward,Patrick,1911,0,2,2,4,90,1983
98,House,TN,D,Boner,William,Hill,1945,0,0,0,0,82,1983
98,House,MI,D,Bonior,David,Edward,1945,0,1,2,3,91,1983
98,House,WA,D,Bonker,Don,Leroy,1937,0,0,3,3,100,1983
98,House,PA,D,Borski,Robert,Anthony,1948,0,4,1,5,91,1983
98,House,CA,D,Bosco,Douglas,Harry,1946,0,1,1,2,100,1983
98,House,VA,D,Boucher,Frederick,C.,1946,0,0,0,0,100,1983
98,House,CA,D,Boxer,Barbara,NA,1940,1,1,1,2,100,1983
98,House,LA,D,Breaux,John,Berlinger,1944,0,2,2,4,45,1983
98,House,NC,D,Britt,Charles,Robin,1942,0,1,2,3,91,1983
98,House,TX,D,Brooks,Jack,Bascom,1922,0,2,1,3,91,1983
98,House,MI,R,Broomfield,William,S.,1922,0,2,0,2,27,1983
98,House,CA,D,Brown,George,Edward,1920,0,1,1,2,100,1983
98,House,CO,R,Brown,George,Hanks,1940,0,2,1,3,55,1983
98,House,NC,R,Broyhill,James,Thomas,1927,0,1,2,3,36,1983
98,House,TX,D,Bryant,John,Wiley,1947,0,NA,NA,NA,100,1983
98,House,CA,D,Burton,Sala,Galante,1925,1,1,0,1,100,1983
98,House,IN,R,Burton,Danny,Lee,1938,0,2,1,3,27,1983
98,House,CA,D,Burton,Phillip,NA,1926,0,1,0,1,100,1983
98,House,MD,D,Byron,Beverly,Barton Butcher,1932,1,1,2,3,40,1983
98,House,SC,R,Campbell,Carroll,Ashmore,1940,0,0,2,2,27,1983
98,House,NY,R,Carney,William,NA,1942,0,1,0,1,18,1983
98,House,DE,D,Carper,Thomas,Richard,1947,0,0,2,2,82,1983
98,House,MI,D,Carr,Milton,Robert,1943,0,1,0,1,100,1983
98,House,WA,R,Chandler,Rodney,Dennis,1942,0,NA,NA,NA,55,1983
98,House,FL,D,Chappell,William,Venroe,1922,0,2,2,4,36,1983
98,House,CA,R,Chappie,Eugene,A.,1920,0,3,2,5,30,1983
98,House,WY,R,Cheney,Richard,Bruce,1941,0,2,0,2,10,1983
98,House,NC,D,Clarke,James,McClure,1917,0,0,1,1,100,1983
98,House,MO,D,Clay,William,Lacy,1931,0,2,1,3,100,1983
98,House,PA,R,Clinger,William,Floyd,1929,0,2,2,4,55,1983
98,House,IN,R,Coats,Daniel,Ray,1943,0,0,0,0,36,1983
98,House,CA,D,Coelho,Tony,NA,1942,0,0,0,0,100,1983
98,House,TX,D,Coleman,Ronald,D'Emory,1941,0,0,0,0,91,1983
98,House,MO,R,Coleman,Earl,Thomas,1943,0,2,1,3,45,1983
98,House,IL,D,Collins,Cardiss,NA,1931,1,0,1,1,100,1983
98,House,NY,R,Conable,Barber,Benjamin,1922,0,3,1,4,50,1983
98,House,MA,R,Conte,Silvio,Ottavio,1921,0,2,2,4,82,1983
98,House,MI,D,Conyers,John,NA,1929,0,0,2,2,90,1983
98,House,TN,D,Cooper,James,Hayes Shofner,1954,0,1,2,3,50,1983
98,House,IL,R,Corcoran,Thomas,Joseph,1939,0,0,0,0,27,1983
98,House,PA,R,Coughlin,Robert,Lawrence,1929,0,4,1,5,64,1983
98,House,NJ,R,Courter,James,Andrew,1941,0,0,0,0,36,1983
98,House,PA,D,Coyne,William,Joseph,1936,0,0,0,0,91,1983
98,House,ID,R,Craig,Larry,Edwin,1945,0,0,0,0,18,1983
98,House,IL,R,Crane,Daniel,Bever,1936,0,3,3,6,18,1983
98,House,IL,R,Crane,Philip,Miller,1930,0,5,1,6,9,1983
98,House,MI,D,Crockett,George,William,1909,0,1,2,3,100,1983
98,House,NH,D,D'Amours,Norman,Edward,1937,0,2,1,3,91,1983
98,House,VA,D,Daniel,Wilbur,Clarence,1914,0,0,1,1,40,1983
98,House,CA,R,Dannemeyer,William,Edwin,1929,0,2,1,3,9,1983
98,House,GA,D,Darden,George,NA,1943,0,0,0,0,100,1983
98,House,SD,D,Daschle,Thomas,Andrew,1947,0,2,1,3,78,1983
98,House,NE,R,Daub,Harold,John,1941,0,1,2,3,45,1983
98,House,MI,R,Davis,Robert,William,1932,0,3,2,5,40,1983
98,House,TX,D,De La Garza,Eligio,NA,1927,0,1,2,3,70,1983
98,House,CA,D,Dellums,Ronald,V.,1935,0,2,2,4,100,1983
98,House,SC,D,Derrick,Butler,Carson,1936,0,2,2,4,100,1983
98,House,OH,R,Dewine,Michael,NA,1947,0,5,3,8,18,1983
98,House,AL,R,Dickinson,William,Louis,1925,0,1,3,4,30,1983
98,House,WA,D,Dicks,Norman,DeValois,1940,0,0,2,2,91,1983
98,House,MI,D,Dingell,John,David,1926,0,2,2,4,100,1983
98,House,CA,D,Dixon,Julian,Carey,1934,0,0,1,1,100,1983
98,House,MA,D,Donnelly,Brian,Joseph,1946,0,NA,NA,NA,90,1983
98,House,ND,D,Dorgan,Byron,Leslie,1942,0,1,2,3,91,1983
98,House,MS,D,Dowdy,Charles,Wayne,1943,0,1,2,3,90,1983
98,House,NY,D,Downey,Thomas,Joseph,1949,0,0,0,0,91,1983
98,House,CA,R,Dreier,David,Timothy,1952,0,0,0,0,18,1983
98,House,TN,R,Duncan,John,James,1919,0,1,2,3,36,1983
98,House,IL,D,Durbin,Richard,Joseph,1944,0,2,1,3,91,1983
98,House,NJ,D,Dwyer,Bernard,James,1921,0,1,0,1,100,1983
98,House,CA,D,Dymally,Mervyn,Malcolm,1926,0,0,1,1,100,1983
98,House,MD,D,Dyson,Royden,Patrick,1948,0,0,0,0,64,1983
98,House,MA,D,Early,Joseph,Daniel,1933,0,4,4,8,90,1983
98,House,OH,D,Eckart,Dennis,Edward,1950,0,0,1,1,100,1983
98,House,PA,D,Edgar,Robert,William,1943,0,0,2,2,100,1983
98,House,CA,D,Edwards,William,Donlon,1915,0,0,4,4,100,1983
98,House,OK,R,Edwards,Marvin,Henry,1937,0,2,1,3,18,1983
98,House,AL,R,Edwards,William,Jackson,1928,0,1,1,2,30,1983
98,House,MO,R,Emerson,Norvell,William,1938,0,4,0,4,36,1983
98,House,OK,D,English,Glenn,Lee,1940,0,0,2,2,55,1983
98,House,AL,D,Erdreich,Ben,NA,1938,0,1,1,2,64,1983
98,House,IL,R,Erlenborn,John,Neal,1927,0,1,2,3,10,1983
98,House,IL,D,Evans,Lane,Allen,1951,0,0,0,0,100,1983
98,House,IA,R,Evans,Thomas,Cooper,1924,0,0,1,1,73,1983
98,House,FL,D,Fascell,Dante,Bruno,1917,0,2,1,3,100,1983
98,House,CA,D,Fazio,Victor,Herbert,1942,0,3,1,4,91,1983
98,House,OH,D,Feighan,Edward,Farrell,1947,0,2,2,4,100,1983
98,House,NY,D,Ferraro,Geraldine,Anne,1935,1,2,1,3,100,1983
98,House,CA,R,Fiedler,Bobbi,NA,1937,1,1,1,2,50,1983
98,House,TX,R,Fields,Jack,Milton,1952,0,2,0,2,18,1983
98,House,NY,R,Fish,Hamilton,NA,1926,0,1,2,3,45,1983
98,House,AL,D,Flippo,Ronnie,Gene,1937,0,2,4,6,64,1983
98,House,NJ,D,Florio,James,Joseph,1937,0,0,0,0,100,1983
98,House,PA,D,Foglietta,Thomas,Michael,1928,0,0,0,0,100,1983
98,House,WA,D,Foley,Thomas,Stephen,1929,0,0,0,0,91,1983
98,House,MI,D,Ford,William,David,1927,0,1,2,3,100,1983
98,House,TN,D,Ford,Harold,Eugene,1945,0,1,1,2,100,1983
98,House,NJ,R,Forsythe,Edwin,Bell,1916,0,1,0,1,44,1983
98,House,GA,D,Fowler,Wyche,NA,1940,0,1,1,2,100,1983
98,House,MA,D,Frank,Barney,NA,1940,0,0,0,0,100,1983
98,House,MS,R,Franklin,William,Webster,1941,0,NA,NA,NA,27,1983
98,House,MN,R,Frenzel,William,Eldridge,1928,0,3,0,3,36,1983
98,House,TX,D,Frost,Jonas,Martin,1942,0,0,0,0,91,1983
98,House,FL,D,Fuqua,Don,NA,1933,0,0,0,0,55,1983
98,House,NY,D,Garcia,Robert,NA,1933,0,1,2,3,91,1983
98,House,PA,D,Gaydos,Joseph,Matthew,1926,0,0,1,1,56,1983
98,House,CT,D,Gejdenson,Samuel,NA,1948,0,1,1,2,100,1983
98,House,PA,R,Gekas,George,William,1930,0,0,0,0,45,1983
98,House,MO,D,Gephardt,Richard,Andrew,1941,0,2,1,3,91,1983
98,House,FL,D,Gibbons,Sam,Melville,1920,0,0,3,3,73,1983
98,House,NY,R,Gilman,Benjamin,Arthur,1922,0,2,3,5,64,1983
98,House,GA,R,Gingrich,Newton,Leroy,1943,0,2,0,2,30,1983
98,House,KS,D,Glickman,Daniel,Robert,1944,0,1,1,2,91,1983
98,House,TX,D,Gonzalez,Henry,B.,1916,0,4,4,8,91,1983
98,House,PA,R,Goodling,William,Franklin,1927,0,1,1,2,64,1983
98,House,TN,D,Gore,Albert,Arnold,1948,0,3,1,4,80,1983
98,House,OH,R,Gradison,Willis,David,1928,0,5,0,5,45,1983
98,House,TX,R,Gramm,William,Philip,1942,0,0,2,2,20,1983
98,House,PA,D,Gray,William,Herbert,1941,0,0,3,3,100,1983
98,House,NY,R,Green,Sedgwick,William,1929,0,1,2,3,82,1983
98,House,NH,R,Gregg,Judd,Alan,1947,0,2,1,3,36,1983
98,House,NJ,D,Guarini,Frank,Joseph,1924,0,0,0,0,100,1983
98,House,WI,R,Gunderson,Steven,Craig,1951,0,0,0,0,45,1983
98,House,IN,D,Hall,Katie,Beatrice,1938,1,2,0,2,100,1983
98,House,TX,D,Hall,Sam,Blakeley,1924,0,3,0,3,36,1983
98,House,TX,D,Hall,Ralph,Moody,1923,0,0,3,3,45,1983
98,House,OH,D,Hall,Tony,Patrick,1942,0,1,0,1,91,1983
98,House,IN,D,Hamilton,Lee,Herbert,1931,0,2,1,3,82,1983
98,House,AR,R,Hammerschmidt,John,Paul,1922,0,0,1,1,36,1983
98,House,TX,D,Hance,Kent,Ronald,1942,0,1,1,2,43,1983
98,House,UT,R,Hansen,James,Vear,1932,0,2,3,5,11,1983
98,House,ID,R,Hansen,George,Vernon,1930,0,2,3,5,0,1983
98,House,IA,D,Harkin,Thomas,Richard,1939,0,2,0,2,100,1983
98,House,PA,D,Harrison,Frank,Girard,1940,0,0,0,0,91,1983
98,House,SC,R,Hartnett,Thomas,Forbes,1941,0,NA,NA,NA,18,1983
98,House,GA,D,Hatcher,Charles,Floyd,1939,0,1,1,2,70,1983
98,House,CA,D,Hawkins,Augustus,Freeman,1907,0,2,1,3,100,1983
98,House,IL,D,Hayes,Charles,Arthur,1918,0,2,0,2,100,1983
98,House,NC,D,Hefner,Willie,Gathrel,1930,0,2,0,2,70,1983
98,House,HI,D,Heftel,Cecil,Landau,1924,0,4,3,7,75,1983
98,House,MI,D,Hertel,Dennis,Mark,1948,0,0,0,0,90,1983
98,House,TX,D,Hightower,Jack,English,1926,0,3,0,3,45,1983
98,House,IN,R,Hiler,John,Patrick,1953,0,NA,NA,NA,27,1983
98,House,IN,R,Hillis,Elwood,Haynes,1926,0,0,3,3,40,1983
98,House,MD,R,Holt,Marjorie,Sewell,1920,1,2,1,3,30,1983
98,House,KY,R,Hopkins,Larry,Jones,1933,0,0,1,1,36,1983
98,House,NY,R,Horton,Frank,Jefferson,1919,0,0,4,4,50,1983
98,House,NJ,D,Howard,James,John,1927,0,3,0,3,100,1983
98,House,MD,D,Hoyer,Steny,Hamilton,1939,0,3,0,3,91,1983
98,House,KY,D,Hubbard,Carroll,NA,1937,0,0,1,1,64,1983
98,House,LA,D,Huckaby,Thomas,Jerald,1941,0,1,0,1,73,1983
98,House,NJ,D,Hughes,William,John,1932,0,3,1,4,91,1983
98,House,CA,R,Hunter,Duncan,Lee,1948,0,0,2,2,20,1983
98,House,FL,D,Hutto,Earl,Dewitt,1926,0,2,0,2,45,1983
98,House,IL,R,Hyde,Henry,John,1924,0,1,3,4,27,1983
98,House,FL,D,Ireland,Andrew,Poysell,1930,0,3,4,7,36,1983
98,House,IN,D,Jacobs,Andrew,NA,1932,0,0,2,2,91,1983
98,House,VT,R,Jeffords,James,Merrill,1934,0,1,1,2,80,1983
98,House,GA,D,Jenkins,Edgar,Lanier,1933,0,2,0,2,70,1983
98,House,CT,R,Johnson,Nancy,Lee,1935,1,3,0,3,73,1983
98,House,NC,D,Jones,Walter,Beaman,1913,0,1,0,1,64,1983
98,House,OK,D,Jones,James,Robert,1939,0,0,2,2,73,1983
98,House,TN,D,Jones,Ed,NA,1912,0,1,0,1,67,1983
98,House,OH,D,Kaptur,Marcia,Carolyn,1946,1,0,0,0,91,1983
98,House,OH,R,Kasich,John,Richard,1952,0,2,0,2,27,1983
98,House,WI,D,Kastenmeier,Robert,William,1924,0,0,3,3,100,1983
98,House,TX,D,Kazen,Abraham,NA,1919,0,4,1,5,36,1983
98,House,NY,R,Kemp,Jack,French,1935,0,1,3,4,27,1983
98,House,CT,D,Kennelly,Barbara,Bailey,1936,1,3,1,4,100,1983
98,House,MI,D,Kildee,Dale,Edward,1929,0,1,2,3,91,1983
98,House,OH,R,Kindness,Thomas,Norman,1929,0,1,3,4,20,1983
98,House,WI,D,Kleczka,Gerald,Daniel,1943,0,0,0,0,NA,1983
98,House,CO,D,Kogovsek,Raymond,Peter,1941,0,2,0,2,100,1983
98,House,PA,D,Kolter,Joseph,Paul,1926,0,1,3,4,91,1983
98,House,PA,D,Kostmayer,Peter,Houston,1946,0,0,0,0,100,1983
98,House,CO,R,Kramer,Kenneth,Bentley,1942,0,0,0,0,27,1983
98,House,NY,D,Lafalce,John,Joseph,1939,0,0,1,1,82,1983
98,House,CA,R,Lagomarsino,Robert,John,1926,0,1,0,1,27,1983
98,House,CA,D,Lantos,Thomas,Peter,1928,0,2,0,2,100,1983
98,House,OH,R,Latta,Delbert,Leroy,1920,0,1,0,1,18,1983
98,House,IA,R,Leach,James,Albert Smith,1942,0,1,1,2,64,1983
98,House,TX,D,Leath,James,Marvin,1931,0,0,1,1,20,1983
98,House,CA,D,Lehman,Richard,Henry,1948,0,0,0,0,100,1983
98,House,FL,D,Lehman,William,NA,1913,0,1,2,3,100,1983
98,House,TX,D,Leland,George,Thomas,1944,0,0,2,2,100,1983
98,House,NY,R,Lent,Norman,Frederick,1931,0,1,3,4,40,1983
98,House,MI,D,Levin,Sander,Martin,1931,0,2,2,4,100,1983
98,House,CA,D,Levine,Meldon,Edises,1943,0,1,2,3,100,1983
98,House,GA,D,Levitas,Elliott,Harris,1930,0,0,0,0,64,1983
98,House,FL,R,Lewis,Thomas,F.,1924,0,1,2,3,45,1983
98,House,CA,R,Lewis,Charles,Jeremy,1934,0,2,5,7,0,1983
98,House,IL,D,Lipinski,William,Oliver,1937,0,1,1,2,55,1983
98,House,LA,R,Livingston,Robert,Linlithgow,1943,0,1,3,4,27,1983
98,House,TN,D,Lloyd,Marilyn,Laird,1929,1,2,1,3,55,1983
98,House,TX,R,Loeffler,Thomas,Gilbert,1946,0,1,2,3,18,1983
98,House,MD,D,Long,Clarence,Dickinson,1908,0,1,1,2,100,1983
98,House,LA,D,Long,Gillis,William,1923,0,1,1,2,90,1983
98,House,MS,R,Lott,Chester,Trent,1941,0,0,2,2,30,1983
98,House,CA,R,Lowery,William,David,1947,0,2,1,3,22,1983
98,House,WA,D,Lowry,Michael,Edward,1939,0,1,0,1,100,1983
98,House,NM,R,Lujan,Manuel,NA,1928,0,2,1,3,36,1983
98,House,OH,D,Luken,Thomas,Andrew,1925,0,5,3,8,82,1983
98,House,NY,D,Lundine,Stanley,Nelson,1939,0,0,2,2,91,1983
98,House,CA,R,Lungren,Daniel,Edward,1946,0,2,1,3,27,1983
98,House,FL,D,MacKay,Kenneth,Hood,1933,0,0,4,4,90,1983
98,House,FL,R,Mack,Connie,NA,1940,0,0,1,1,27,1983
98,House,IL,R,Madigan,Edward,Rell,1936,0,3,0,3,36,1983
98,House,MA,D,Markey,Edward,John,1946,0,0,0,0,91,1983
98,House,MT,R,Marlenee,Ronald,Charles,1935,0,2,3,5,20,1983
98,House,UT,R,Marriott,David,Daniel,1939,0,2,2,4,27,1983
98,House,NC,R,Martin,James,Grubbs,1935,0,0,4,4,50,1983
98,House,IL,R,Martin,Lynn,Morley,1939,1,2,2,4,55,1983
98,House,NY,R,Martin,David,O'Brien,1944,0,3,0,3,36,1983
98,House,CA,D,Martinez,Matthew,G.,1929,0,3,2,5,100,1983
98,House,CA,D,Matsui,Robert,T.,1941,0,0,1,1,91,1983
98,House,MA,D,Mavroules,Nicholas,James,1929,0,3,0,3,91,1983
98,House,KY,D,Mazzoli,Romano,Louis,1932,0,1,1,2,64,1983
98,House,AZ,R,McCain,John,Sidney,1936,0,2,3,5,45,1983
98,House,CA,R,McCandless,Alfred,A.,1927,0,1,1,2,27,1983
98,House,IN,D,McCloskey,Francis,Xavier,1939,0,1,1,2,91,1983
98,House,FL,R,McCollum,Ira,William,1944,0,0,3,3,27,1983
98,House,OK,D,McCurdy,David,Keith,1950,0,2,1,3,73,1983
98,House,PA,R,McDade,Joseph,Michael,1931,0,2,3,5,40,1983
98,House,GA,D,McDonald,Lawrence,Patton,1935,0,1,1,2,17,1983
98,House,OH,R,McEwen,Bob,NA,1950,0,2,2,4,27,1983
98,House,NY,R,McGrath,Raymond,Joseph,1942,0,0,0,0,36,1983
98,House,NY,D,McHugh,Matthew,Francis,1938,0,2,1,3,91,1983
98,House,ME,R,McKernan,John,Rettie,1948,0,0,1,1,64,1983
98,House,CT,R,McKinney,Stewart,Brett,1931,0,3,2,5,82,1983
98,House,AZ,D,McNulty,James,Francis,1925,0,3,6,9,89,1983
98,House,FL,D,Mica,Daniel,Andrew,1944,0,2,2,4,91,1983
98,House,IL,R,Michel,Robert,Henry,1923,0,2,2,4,22,1983
98,House,MD,D,Mikulski,Barbara,Ann,1936,1,0,0,0,100,1983
98,House,OH,R,Miller,Clarence,E.,1917,0,2,0,2,27,1983
98,House,CA,D,Miller,George,NA,1945,0,0,2,2,100,1983
98,House,CA,D,Mineta,Norman,Y.,1931,0,0,2,2,100,1983
98,House,NJ,D,Minish,Joseph,George,1916,0,0,0,0,91,1983
98,House,MD,D,Mitchell,Parren,James,1922,0,0,0,0,100,1983
98,House,MA,D,Moakley,John,Joseph,1927,0,0,0,0,91,1983
98,House,NY,R,Molinari,Guy,Victor,1928,0,1,2,3,44,1983
98,House,WV,D,Mollohan,Alan,Bowlby,1943,0,1,4,5,73,1983
98,House,MS,D,Montgomery,Gillespie,V.,1920,0,0,0,0,45,1983
98,House,WI,D,Moody,Jim,NA,1935,0,1,1,2,100,1983
98,House,LA,R,Moore,William,Henson,1939,0,2,1,3,18,1983
98,House,CA,R,Moorhead,Carlos,John,1922,0,2,0,2,10,1983
98,House,CT,D,Morrison,Bruce,Andrew,1944,0,0,0,0,100,1983
98,House,WA,R,Morrison,Sidney,Wallace,1933,0,3,1,4,44,1983
98,House,NY,D,Mrazek,Robert,Jan,1945,0,1,1,2,100,1983
98,House,PA,D,Murphy,Austin,John,1927,0,1,1,2,80,1983
98,House,PA,D,Murtha,John,Patrick,1932,0,1,2,3,60,1983
98,House,IN,R,Myers,John,Thomas,1927,0,2,0,2,36,1983
98,House,KY,D,Natcher,William,Huston,1909,0,2,0,2,73,1983
98,House,NC,D,Neal,Stephen,Lybrook,1934,0,0,1,1,88,1983
